datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
98,C3-TP10,883,2.252551,0.779581,24.35976,13.145547,30,0,11760,2.954033,1.5,1.5,12.6,14.6,13.6,7.01927,10.240091,10.255946,-0.450732,13.678927,0.506713
98,C4-TP9,843,2.15051,0.762788,25.16087,13.076373,30,0,11760,3.145363,1.5,1.5,12.6,14.6,13.6,7.271099,10.00949,9.939502,-0.493892,13.59916,0.500099
99,C3-TP10,937,2.330846,0.796201,16.83833,12.639403,30,0,12060,1.994784,1.5,1.5,12.1,14.1,13.1,4.79073,10.054429,10.072572,-0.456125,13.128269,0.495589
99,C4-TP9,904,2.248756,0.769082,16.69335,12.703344,30,0,12060,1.999797,1.5,1.5,12.1,14.1,13.1,4.765332,9.759956,9.779867,-0.441815,13.202539,0.484332
100,C3-TP10,977,2.205418,0.811494,23.56616,12.86972,30,0,13290,2.833925,1.5,1.5,12,14,13,6.733165,10.461617,10.425793,-0.660633,13.440718,0.531232
100,C4-TP9,673,1.519187,0.738009,24.76937,12.731537,30,0,13290,3.219698,1.5,1.5,12,14,13,7.29005,9.405646,9.38633,-0.560945,13.263166,0.503199
101,C3-TP10,1475,2.293935,0.867675,25.79005,12.429092,30,0,19290,3.139147,1.5,1.5,11.9,13.9,12.9,7.415402,10.778983,10.789831,-0.440652,12.909755,0.464311
101,C4-TP9,1356,2.108865,0.860819,23.18525,12.494967,30,0,19290,2.821858,1.5,1.5,11.9,13.9,12.9,6.642799,10.760324,10.751475,-0.432252,12.962083,0.470442
102,C3-TP10,1893,2.846617,0.79711,24.91906,13.854519,30,0,19950,2.773989,1.5,1.5,13.2,15.2,14.2,7.102024,11.031696,11.055468,-0.402794,14.367221,0.541913
102,C4-TP9,1876,2.821053,0.80597,27.38017,13.772156,30,0,19950,3.026384,1.5,1.5,13.2,15.2,14.2,7.783924,11.09435,11.105544,-0.561439,14.358965,0.569531
