datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
17,C3-TP10,1182,1.818462,1.362766,132.042,-535.8897,-297.2673,501.4091,263.2873,0.733801,0.743378,30,19500,-41.80373,77.57981,40.599,-72.65454,59.38751
17,C4-TP9,1204,1.852308,1.325457,137.6511,-577.2737,-319.6186,546.9265,286.6219,0.754457,0.777376,30,19500,-43.74805,80.57761,42.28838,-76.85768,60.79345
18,C3-TP10,769,1.478846,1.204291,127.2442,-554.0582,-320.2399,568.6565,331.245,0.830364,0.880528,30,15600,-40.94334,75.38533,38.90231,-71.96974,55.2745
18,C4-TP9,718,1.380769,1.378552,153.8931,-573.2316,-317.5828,608.3975,324.7291,0.725399,0.713618,30,15600,-49.72477,95.85346,46.92074,-77.72219,76.17095
19,C3-TP10,465,0.776294,1.278645,89.19364,-370.2536,-207.8876,384.2526,201.9268,0.782078,0.832707,30,17970,-30.16268,56.17856,27.0192,-47.69847,41.49517
19,C4-TP9,509,0.84975,1.256719,89.23758,-404.6296,-239.33,370.6154,202.4706,0.795723,0.813957,30,17970,-30.73709,55.63968,27.03074,-50.9229,38.31468
20,C3-TP10,1009,1.770175,1.347839,255.3596,-898.4816,-504.9148,978.3301,549.3473,0.741928,0.799183,30,17100,-69.79948,131.1097,79.59929,-137.2365,118.1231
20,C4-TP9,1035,1.815789,1.368435,208.0753,-756.2816,-408.5516,820.414,442.7743,0.730762,0.7643,30,17100,-60.29366,113.3367,64.46421,-111.2285,96.84682
21,C3-TP10,570,0.984456,1.218404,111.776,-529.7739,-304.3977,490.8808,267.8178,0.820746,0.82996,30,17370,-36.77056,68.15097,33.60706,-61.9502,49.82583
21,C4-TP9,540,0.932642,1.188056,122.7553,-603.972,-357.4656,544.037,299.1567,0.841711,0.837625,30,17370,-40.95847,74.31661,36.93214,-70.75896,51.99631
22,C3-TP10,1307,2.273043,1.294086,186.6706,-827.94,-484.2292,732.3635,413.6509,0.772746,0.812043,30,17250,-56.76503,102.2406,57.82236,-108.9791,77.69154
22,C4-TP9,1208,2.10087,1.315803,181.355,-804.3633,-476.7444,695.803,386.2585,0.759992,0.776001,30,17250,-56.485,101.144,55.75129,-107.1356,74.2194
