datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
51,C4A1 EEG,1228,2.265683,0.773998,31.20434,12.777363,30,0,16260,3.43244,1.5,1.5,12.2,14.2,13.2,8.693712,9.899023,9.880293,-0.42754,13.259896,0.479137
52,C3A2 EEG,1080,1.956522,0.762722,24.06766,13.361619,30,0,16560,2.75453,1.5,1.5,13,15,14,6.780835,10.200926,10.181481,-0.381888,13.872924,0.465378
52,C4A1 EEG,1071,1.940217,0.74098,22.97229,13.402387,30,0,16560,2.667577,1.5,1.5,13,15,14,6.522193,9.92437,9.937442,-0.386673,13.890855,0.468329
53,C3A2 EEG,1738,2.186164,0.817388,21.17072,13.772508,30,0,23850,2.378884,1.5,1.5,13,15,14,6.061046,11.255466,11.259494,-0.04493,14.118867,0.455035
53,C4A1 EEG,1731,2.177358,0.830289,22.53713,13.827989,30,0,23850,2.555258,1.5,1.5,13,15,14,6.464168,11.476025,11.486424,-0.071963,14.181015,0.448179
54,C3A2 EEG,1244,2.286765,0.76717,24.93828,13.588688,30,0,16320,2.996402,1.5,1.5,13,15,14,7.23501,10.434084,10.415595,-0.274113,14.041795,0.491079
54,C4A1 EEG,1297,2.384191,0.78155,28.43796,13.631655,30,0,16320,3.40118,1.5,1.5,13,15,14,8.237846,10.654588,10.653045,-0.243025,14.078012,0.482764
55,C3A2 EEG,985,1.781193,0.70336,23.30064,13.915071,30,0,16590,2.705596,1.5,1.5,13.4,15.4,14.4,6.694083,9.77868,9.795939,-0.228008,14.388996,0.485627
55,C4A1 EEG,721,1.303797,0.689792,27.39779,13.929103,30,0,16590,3.283036,1.5,1.5,13.4,15.4,14.4,7.936206,9.619972,9.596394,-0.254375,14.434556,0.488973
56,C3A2 EEG,1595,2.769097,0.879718,30.82083,13.383459,30,0,17280,3.503081,1.5,1.5,12.7,14.7,13.7,8.770622,11.783072,11.764263,-0.336633,13.850623,0.488587
56,C4A1 EEG,1485,2.578125,0.87464,30.36441,13.337671,30,0,17280,3.423812,1.5,1.5,12.7,14.7,13.7,8.629769,11.676768,11.654545,-0.350017,13.805273,0.4981
57,C3A2 EEG,1904,2.321951,0.793603,34.46216,14.05673,30,0,24600,3.926958,1.5,1.5,13.5,15.5,14.5,9.823894,11.148634,11.16229,-0.339994,14.548301,0.485692
57,C4A1 EEG,1809,2.206098,0.795036,36.58963,14.0361,30,0,24600,4.183712,1.5,1.5,13.5,15.5,14.5,10.42162,11.161415,11.156993,-0.34025,14.517629,0.465915
58,C3A2 EEG,545,1.09,0.692257,15.058,12.791561,30,0,15000,1.788855,1.5,1.5,12.5,14.5,13.5,4.299337,8.86055,8.849541,-0.087134,13.203509,0.464371
58,C4A1 EEG,518,1.036,0.672181,15.21506,12.814842,30,0,15000,1.833124,1.5,1.5,12.5,14.5,13.5,4.386907,8.629344,8.598456,-0.069464,13.189316,0.480444
59,C3A2 EEG,1062,1.437077,0.712194,22.41776,12.028162,30,0,22170,2.758527,1.5,1.5,11.5,13.5,12.5,6.445702,8.563089,8.56968,-0.171033,12.416933,0.452675
59,C4A1 EEG,1144,1.548038,0.731809,23.81466,12.096418,30,0,22170,2.937271,1.5,1.5,11.5,13.5,12.5,6.870086,8.862762,8.841783,-0.162998,12.467458,0.459029
60,C3A2 EEG,2019,2.909222,0.845181,52.83447,13.255236,30,0,20820,6.185406,1.5,1.5,12.6,14.6,13.6,15.19189,11.204557,11.201585,-0.16342,13.650857,0.496295
60,C4A1 EEG,2031,2.926513,0.864402,51.80483,13.279221,30,0,20820,6.105732,1.5,1.5,12.6,14.6,13.6,14.8796,11.478582,11.478582,-0.160014,13.655216,0.450422
61,C3A2 EEG,794,2.010127,0.77102,25.42626,13.101325,30,0,11850,3.056581,1.5,1.5,12.6,14.6,13.6,7.27415,10.096977,10.105793,-0.289527,13.541505,0.455405
61,C4A1 EEG,785,1.987342,0.776076,27.22068,13.211976,30,0,11850,3.231588,1.5,1.5,12.6,14.6,13.6,7.780197,10.256051,10.250955,-0.248809,13.626848,0.478556
62,C3A2 EEG,1218,2.302457,0.80358,24.53422,13.328599,30,0,15870,2.79069,1.5,1.5,12.7,14.7,13.7,6.94623,10.680624,10.740558,-0.37884,13.808361,0.49495
62,C4A1 EEG,1101,2.081285,0.818029,28.2518,13.458613,30,0,15870,3.273342,1.5,1.5,12.7,14.7,13.7,8.076522,11.019074,11,-0.26846,13.879167,0.482364
63,C3A2 EEG,856,1.772257,0.726776,29.19036,12.946055,30,0,14490,3.319449,1.5,1.5,12.5,14.5,13.5,8.197171,9.41472,9.403037,-0.774763,13.60694,0.503362
63,C4A1 EEG,721,1.492754,0.702067,28.30051,12.973389,30,0,14490,3.352419,1.5,1.5,12.5,14.5,13.5,8.048235,9.12344,9.092926,-0.64743,13.579957,0.478823
64,C3A2 EEG,622,1.34632,0.734148,17.96281,12.74746,30,0,13860,2.267727,1.5,1.5,12.5,14.5,13.5,5.216346,9.358521,9.358521,-0.183481,13.183565,0.439656
64,C4A1 EEG,492,1.064935,0.717967,19.85867,12.767523,30,0,13860,2.5489,1.5,1.5,12.5,14.5,13.5,5.789966,9.156504,9.176829,-0.263705,13.225426,0.435971
65,C3A2 EEG,870,1.365777,0.738345,17.93203,14.108911,30,0,19110,2.241912,1.5,1.5,13.9,15.9,14.9,5.18329,10.414943,10.41954,-0.003303,14.481415,0.410051
65,C4A1 EEG,903,1.417582,0.69124,17.92391,14.008555,30,0,19110,2.229784,1.5,1.5,13.9,15.9,14.9,5.241074,9.664452,9.702104,-0.032804,14.435716,0.435701
66,C3A2 EEG,731,1.7657,0.723611,19.43074,13.309135,30,0,12420,2.20202,1.5,1.5,12.8,14.8,13.8,5.513529,9.633379,9.627907,-0.222797,13.775567,0.464469
66,C4A1 EEG,742,1.792271,0.735566,21.54775,13.365031,30,0,12420,2.40579,1.5,1.5,12.8,14.8,13.8,6.111567,9.830189,9.831536,-0.205715,13.823625,0.474444
