datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
86,EEG_-C4/A1,1431,2.784047,0.735618,46.56278,13.733174,30,0,15420,5.090455,1.5,1.5,13.1,15.1,14.1,13.27323,10.105521,10.099231,-0.453577,14.275533,0.563515
87,EEG_-C3/A2,1300,2.173913,0.686985,26.9501,14.528934,30,0,17940,2.952182,1.5,1.5,14,16,15,7.625666,9.976923,9.985385,-0.02494,14.959356,0.515499
87,EEG_-C4/A1,1307,2.185619,0.683397,27.87791,14.488916,30,0,17940,3.074202,1.5,1.5,14,16,15,7.915248,9.920428,9.882938,-0.101061,14.944559,0.516998
88,EEG_-C3/A2,531,1.108559,0.691714,18.59426,13.185407,30,0,14370,2.334355,1.5,1.5,12.8,14.8,13.8,5.350844,9.092279,9.148776,-0.036519,13.541891,0.452526
88,EEG_-C4/A1,492,1.02714,0.705163,17.09716,13.169424,30,0,14370,2.196727,1.5,1.5,12.8,14.8,13.8,4.94834,9.300813,9.272358,-0.33136,13.658732,0.450074
89,EEG_-C3/A2,964,1.935743,0.746338,19.8507,13.612798,30,0,14940,2.42578,1.5,1.5,13,15,14,5.742052,10.1639,10.155602,-0.329756,14.082154,0.4701
89,EEG_-C4/A1,1050,2.108434,0.770667,23.17392,13.745675,30,0,14940,2.737222,1.5,1.5,13,15,14,6.680156,10.579048,10.607619,-0.291922,14.191188,0.480157
90,EEG_-C3/A2,1591,2.738382,0.75362,30.54418,13.177538,30,0,17430,3.343275,1.5,1.5,12.6,14.6,13.6,8.598701,9.928347,9.933375,-0.771248,13.822891,0.581387
90,EEG_-C4/A1,1232,2.120482,0.727468,27.74824,12.953562,30,0,17430,3.203384,1.5,1.5,12.6,14.6,13.6,7.887721,9.429383,9.417208,-0.674897,13.574677,0.537342
91,EEG_-C3/A2,749,1.550725,0.758812,20.68706,13.248878,30,0,14490,2.517745,1.5,1.5,13.2,15.2,14.2,5.929873,10.045394,10.061415,-0.098756,13.649283,0.368759
91,EEG_-C4/A1,702,1.453416,0.735028,22.2183,13.25704,30,0,14490,2.773483,1.5,1.5,13.2,15.2,14.2,6.436222,9.719373,9.769231,-0.076624,13.673922,0.37632
92,EEG_-C3/A2,1509,2.540404,0.8034,32.29408,14.112907,30,0,17820,3.582765,1.5,1.5,13.5,15.5,14.5,9.192373,11.330683,11.345924,-0.292001,14.595384,0.521769
92,EEG_-C4/A1,1573,2.648148,0.797419,34.83065,14.057991,30,0,17820,3.840996,1.5,1.5,13.5,15.5,14.5,9.897777,11.225048,11.195168,-0.366604,14.551127,0.526056
93,EEG_-C3/A2,1657,2.827645,0.869445,54.2569,13.223361,30,0,17580,6.447121,1.5,1.5,12.5,14.5,13.5,15.62977,11.500905,11.49306,-0.261391,13.652358,0.497031
93,EEG_-C4/A1,1527,2.605802,0.832292,49.71595,13.250742,30,0,17580,6.019146,1.5,1.5,12.5,14.5,13.5,14.36238,11.045842,11.011133,-0.232132,13.658849,0.507561
94,EEG_-C3/A2,838,1.31348,0.676862,21.76585,13.620176,30,0,19140,2.70286,1.5,1.5,13,15,14,6.400875,9.22315,9.214797,-0.10946,14.050149,0.53163
94,EEG_-C4/A1,495,0.775862,0.651455,23.56701,13.582659,30,0,19140,3.017937,1.5,1.5,13,15,14,6.952982,8.850505,8.846465,-0.151915,14.038205,0.515658
95,EEG_-C3/A2,1125,1.642336,0.721707,22.20731,12.546187,30,0,20550,2.620136,1.5,1.5,12,14,13,6.319296,9.059556,9.049778,-0.412482,13.024389,0.496068
95,EEG_-C4/A1,1195,1.744526,0.730025,23.64985,12.571357,30,0,20550,2.742989,1.5,1.5,12,14,13,6.688778,9.166527,9.188285,-0.501834,13.097235,0.505579
96,EEG_-C3/A2,988,1.593548,0.777105,18.63797,13.402928,30,0,18600,2.264492,1.5,1.5,13,15,14,5.307977,10.425101,10.40587,-0.099796,13.773637,0.419815
96,EEG_-C4/A1,1018,1.641935,0.764519,18.53452,13.369224,30,0,18600,2.27372,1.5,1.5,13,15,14,5.298583,10.229862,10.212181,-0.134726,13.763878,0.424064
97,EEG_-C3/A2,1435,2.104106,0.786216,26.2901,13.757955,30,0,20460,2.891849,1.5,1.5,13.2,15.2,14.2,7.368359,10.81324,10.820209,-0.309554,14.241084,0.458356
97,EEG_-C4/A1,1214,1.780059,0.785494,25.2875,13.638985,30,0,20460,2.78145,1.5,1.5,13.2,15.2,14.2,7.052176,10.724053,10.702636,-0.358436,14.13943,0.455083
98,EEG_-C3/A2,1009,1.885981,0.717691,37.97812,12.325485,30,0,16050,4.627792,1.5,1.5,12,14,13,10.98191,8.83449,8.857284,-0.424598,12.820226,0.482864
98,EEG_-C4/A1,890,1.663551,0.734135,45.78341,12.474364,30,0,16050,5.507057,1.5,1.5,12,14,13,13.18308,9.146067,9.169663,-0.40211,12.941546,0.492267
